uid,name,location,togo,notification hot checkin,news hot checkin,notification hot spot,news hot spot,viewed checkin,liked,saved,type
4TE26xtwsONQwPBFRCgLj3Sg2rB3,I-Ju,信不信由你搜奇博物館,True,False,False,False,False,False,False,False,report togo
4TE26xtwsONQwPBFRCgLj3Sg2rB3,I-Ju,淡水老街,True,False,False,False,False,True,False,False,report togo
ObT83xbHaLhzH8lVsHpM7uP9qGn1,chcchung,淡水媽祖,False,False,False,False,False,False,False,False,report anywhere
VIhkuWyGi1MS9yPuVVbj5tRi0AG2,Stanley,清水巖,True,False,False,False,False,False,False,False,report togo
URRbpmf81mawZ0FXIavt1r9gZim2,money,淡水捷運站,False,False,False,False,False,True,True,False,report anywhere
URRbpmf81mawZ0FXIavt1r9gZim2,money,滬尾偕醫館,False,False,False,False,False,False,False,False,report anywhere
URRbpmf81mawZ0FXIavt1r9gZim2,money,星巴克,False,False,False,False,False,False,False,False,report anywhere
URRbpmf81mawZ0FXIavt1r9gZim2,money,淡水老街,True,False,False,False,False,False,False,False,report togo
nz8TD4R5e5UmBTKYoIpcADLhevF3,Irene,淡水文化園區-殼牌倉庫,False,False,False,False,False,False,False,False,report anywhere
