uid,name,location,togo,notification hot checkin,news hot checkin,notification hot spot,news hot spot,viewed checkin,liked,saved,type
U61,Ruby Chang,滬尾偕醫館,False,False,False,False,False,False,False,False,report anywhere
U61,Ruby Chang,福佑宮,False,False,False,False,False,False,False,False,report anywhere
U61,Ruby Chang,三協成博物館,False,False,False,False,False,False,False,False,report anywhere
U61,Ruby Chang,淡水捷運站,False,False,False,False,False,False,False,False,report anywhere
U61,Ruby Chang,淡水文化園區-殼牌倉庫,False,False,False,False,False,True,False,False,report anywhere
U61,Ruby Chang,金色水岸,False,False,False,False,False,False,False,False,report anywhere
U61,Ruby Chang,阿媽的酸梅湯,True,False,False,False,False,False,False,False,report togo
U61,Ruby Chang,淡水老街,True,False,False,False,False,False,False,False,report togo
U61,Ruby Chang,藝術穿堂,True,False,False,False,False,False,False,False,report togo
U61,Ruby Chang,藝術穿堂,True,False,False,False,False,False,False,False,report togo
U61,Ruby Chang,3D意象彩繪階梯,True,False,False,False,False,False,False,False,report togo
U31,athena,福佑宮,False,False,False,False,False,True,False,False,report anywhere
U31,athena,紅毛城,False,False,False,False,False,False,False,False,report anywhere
U31,athena,滬尾之役體驗館,False,False,False,False,False,False,False,False,report anywhere
U31,athena,馬偕上岸處,False,False,False,False,False,True,False,False,report anywhere
U31,athena,三協成博物館,False,False,False,False,False,False,False,False,report anywhere
U31,athena,淡水禮拜堂,False,False,False,False,False,False,False,False,report anywhere
U31,athena,新建成,False,False,False,False,False,False,False,False,report anywhere
U31,athena,桂橡花園,False,False,False,False,False,False,False,False,report anywhere
U31,athena,百葉溫州大餛飩,False,False,False,False,False,True,False,False,report anywhere
U31,athena,保安藥房,False,False,False,False,False,False,False,False,report anywhere
U31,athena,淡水禮拜堂,False,False,False,False,False,False,False,False,report anywhere
U31,athena,老街阿給,False,False,False,False,False,False,False,False,report anywhere
U31,athena,淡水榕樹道,False,False,False,False,False,True,False,False,report anywhere
U31,athena,,False,False,False,False,False,True,False,False,report anywhere
U31,athena,馬偕銅像,False,False,False,False,False,True,False,False,report anywhere
U31,athena,滬尾偕醫館,False,False,False,False,False,False,False,False,report anywhere
U31,athena,重建街戀愛巷,True,False,False,False,False,False,False,False,report togo
U31,athena,真理大學,True,False,False,False,False,False,False,False,report togo
U31,athena,海關碼頭,True,False,False,False,False,False,False,False,report togo
U31,athena,阿婆鐵蛋,True,False,False,False,False,False,False,False,report togo
U31,athena,淡水老街,True,False,False,False,False,True,False,False,report togo
U31,athena,信不信由你搜奇博物館,True,False,False,False,False,False,False,False,report togo
U31,athena,藝術工坊,True,False,False,False,False,False,False,False,report togo
U31,athena,阿媽的酸梅湯,True,False,False,False,False,True,False,False,report togo
U31,athena,得忌利士洋行,True,False,False,False,False,True,False,False,report togo
U31,athena,許義魚酥,True,False,False,False,False,False,False,False,report togo
U31,athena,淡水渡船頭,True,False,False,False,False,False,False,False,report togo
U31,athena,信不信由你搜奇博物館,True,False,False,False,False,False,False,False,report togo
U31,athena,淡水文化園區-殼牌倉庫,True,False,False,False,False,True,False,False,report togo
U31,athena,理學堂大書院,True,False,False,False,False,False,False,False,report togo
U31,athena,源味本舖現烤蛋糕,True,False,False,False,False,False,False,False,report togo
U31,athena,金色水岸,True,False,False,False,False,False,False,False,report togo
U31,athena,淡水捷運站,True,False,False,False,False,True,False,False,report togo
U31,athena,金色水岸,True,False,False,False,False,False,False,False,report togo
U31,athena,漁業生活文化影像館,True,False,False,False,False,False,False,False,report togo
U31,athena,老牌阿給,True,False,False,False,False,False,False,False,report togo
U41,Wen Yun,淡水禮拜堂,False,False,False,False,False,False,False,False,report anywhere
U41,Wen Yun,真理大學禮拜堂,False,False,False,False,False,False,False,False,report anywhere
U41,Wen Yun,滬尾偕醫館,False,False,False,False,False,False,False,False,report anywhere
U41,Wen Yun,淡水文化園區-殼牌倉庫,False,False,False,False,False,True,False,False,report anywhere
U41,Wen Yun,三協成博物館,True,False,False,False,False,False,False,False,report togo
U41,Wen Yun,清水巖,True,False,False,False,False,False,False,False,report togo
U41,Wen Yun,源味本舖現烤蛋糕,True,False,False,False,False,False,False,False,report togo
U41,Wen Yun,清水巖,True,False,False,False,False,False,False,False,report togo
U41,Wen Yun,紅毛城,True,False,False,False,False,False,False,False,report togo
U41,Wen Yun,英國領事館,True,False,False,False,False,False,False,False,report togo
U41,Wen Yun,紅毛城,True,False,False,False,False,False,False,False,report togo
U41,Wen Yun,牧師樓,True,False,False,False,False,True,False,False,report togo
