uid,name,location,togo,notification hot checkin,news hot checkin,notification hot spot,news hot spot,viewed checkin,liked,saved,type
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,金色水岸自行車道,False,False, False, False, False, False,False,False,report anywhere
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,曾記阿給,False,False, False, False, False, False,False,False,report anywhere
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,無論如何獨立書店,False,False, False, False, False, False,False,False,report anywhere
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,馬偕銅像,False,False, False, False, False, False,False,False,report anywhere
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,晴光紅豆餅,False,False, False, False, False, False,False,False,report anywhere
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,Mr. Brown,False,False, False, False, False, False,False,False,report anywhere
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,coco,False,False, False, False, False, False,False,False,report anywhere
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,mr. brown,False,False, False, False, False, True,True,True,report saved
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,金色水岸,True,False, False, False, False, False,False,False,report togo
UPb7YJ0R7wdHKp9gd4mEBw0HqhF3,Charles,淡水老街,True,False, False, False, False, False,False,False,report togo
oBVoACB6v3ceXa31WXIiSngVMsw1,nicole,阿香,False,False, False, False, False, False,False,False,report anywhere
oBVoACB6v3ceXa31WXIiSngVMsw1,nicole,阿香蝦捲,False,False, False, False, False, False,False,False,report anywhere
oBVoACB6v3ceXa31WXIiSngVMsw1,nicole,合益魚酥,False,False, False, False, False, False,False,False,report anywhere
oBVoACB6v3ceXa31WXIiSngVMsw1,nicole,阿香蝦捲,False,False, False, False, False, True,False,True,report saved
oBVoACB6v3ceXa31WXIiSngVMsw1,nicole,福佑宮,True,False, False, False, False, False,False,False,report togo
ihbiQOInfENCWXZ2y0dfSnLkdGO2,Fanfan,文化阿給,False,False, False, False, False, False,False,False,report anywhere
ihbiQOInfENCWXZ2y0dfSnLkdGO2,Fanfan,滬尾偕醫館,False,False, False, False, False, False,False,False,report anywhere
ihbiQOInfENCWXZ2y0dfSnLkdGO2,Fanfan,榕堤餐厅,False,False, False, False, False, False,False,False,report anywhere
ihbiQOInfENCWXZ2y0dfSnLkdGO2,Fanfan,阿给鱼丸,False,False, False, False, False, False,False,False,report anywhere
ihbiQOInfENCWXZ2y0dfSnLkdGO2,Fanfan,阿婆鐵蛋,False,False, False, False, False, False,False,False,report anywhere
ihbiQOInfENCWXZ2y0dfSnLkdGO2,Fanfan,老牌阿給,False,False, False, False, False, False,False,False,report anywhere
ihbiQOInfENCWXZ2y0dfSnLkdGO2,Fanfan,英國奶奶,False,False, False, False, False, False,False,False,report anywhere
ihbiQOInfENCWXZ2y0dfSnLkdGO2,Fanfan,淡水禮拜堂,False,False, False, False, False, False,False,False,report anywhere
ihbiQOInfENCWXZ2y0dfSnLkdGO2,Fanfan,源味本舖現烤蛋糕,False,False, False, False, False, False,False,False,report anywhere
ZcCpHQO1waZo2DeNHZGdyDt0Xjx2,Emily Lin,淡水老街,False,False, False, False, False, False,False,False,report anywhere
ZcCpHQO1waZo2DeNHZGdyDt0Xjx2,Emily Lin,金色水岸,False,False, False, False, False, False,False,False,report anywhere
ZcCpHQO1waZo2DeNHZGdyDt0Xjx2,Emily Lin,阿香蝦捲,False,False, False, False, False, True,True,True,report saved
ZcCpHQO1waZo2DeNHZGdyDt0Xjx2,Emily Lin,金色水岸自行車道,True,False, False, False, False, False,False,False,report togo
ZcCpHQO1waZo2DeNHZGdyDt0Xjx2,Emily Lin,金色水岸自行車道,True,False, False, False, False, False,False,False,report togo
ZcCpHQO1waZo2DeNHZGdyDt0Xjx2,Emily Lin,金色水岸自行車道,True,False, False, False, False, False,False,False,report togo
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,壁畫路,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,得忌利士洋行,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,老街尾巴,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,三姊妹阿給,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,馬偕銅像,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,馬偕上岸處,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,花,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,齊柏林網美牆,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,淡水禮拜堂,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,滬尾偕醫館,False,False, False, False, False, False,False,False,report anywhere
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,老牌阿給,True,False, False, False, False, False,False,False,report togo
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,文化阿給,True,False, False, False, False, False,False,False,report togo
oFs9h34Kj4ah5YQEYdwJ4PE5iXp2,Ann,淡水老街,True,False, False, False, False, False,False,False,report togo
VIhkuWyGi1MS9yPuVVbj5tRi0AG2,Stanley,紅毛城,True,False, False, False, False, False,False,False,report togo
